epsilon	initial sameas ratio	nb sameas > 0.8	all sameas	nb sameas > 0.8/all sameas	mean ratio
[]	1.5349971271994049e-06	0	1909	0.0	zero division
['created-inv', 'haspages']	0.32831325301204817	56	1744	0.03211009174311927	0.9810606060606061
