context	nb sameas	all_pair	ratio
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['actedin-inv', 'islocatedin']	3	44	0.06818181818181818
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['directed-inv', 'islocatedin', 'wrotemusicfor-inv']	2	17	0.11764705882352941
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'created-inv', 'islocatedin', 'wrotemusicfor-inv']	11	115	0.09565217391304348
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'directed-inv', 'islocatedin', 'wrotemusicfor-inv']	18	314	0.05732484076433121
['wascreatedondate', 'wascreatedonyear'][]['created-inv', 'directed-inv', 'skos:preflabel']	6	12	0.5
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate']['actedin-inv', 'created-inv', 'directed-inv']	6	115	0.05217391304347826
['wascreatedondate', 'wascreatedonyear'][]['directed-inv', 'skos:preflabel']	3	5	0.6
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['created-inv', 'directed-inv', 'edited-inv', 'wrotemusicfor-inv']	14	122	0.11475409836065574
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['created-inv', 'directed-inv', 'islocatedin', 'wrotemusicfor-inv']	6	72	0.08333333333333333
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'created-inv', 'edited-inv', 'islocatedin', 'wrotemusicfor-inv']	1	7	0.14285714285714285
['wascreatedondate', 'wascreatedonyear'][]['actedin-inv', 'created-inv', 'skos:preflabel']	10	21	0.47619047619047616
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'directed-inv', 'islocatedin']	24	294	0.08163265306122448
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['created-inv']	1	18	0.05555555555555555
['wascreatedondate', 'wascreatedonyear'][]['actedin-inv', 'skos:preflabel', 'wrotemusicfor-inv']	1	8	0.125
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['wrotemusicfor-inv']	3	29	0.10344827586206896
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate']['actedin-inv', 'created-inv', 'directed-inv', 'edited-inv']	1	23	0.043478260869565216
['wascreatedondate', 'wascreatedonyear'][]['actedin-inv', 'created-inv', 'directed-inv', 'edited-inv', 'skos:preflabel']	2	8	0.25
['wascreatedondate', 'wascreatedonyear'][]['created-inv', 'directed-inv', 'edited-inv', 'skos:preflabel']	3	5	0.6
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'directed-inv', 'edited-inv', 'wrotemusicfor-inv']	3	61	0.04918032786885246
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['actedin-inv', 'directed-inv', 'islocatedin', 'wrotemusicfor-inv']	1	26	0.038461538461538464
['wascreatedondate', 'wascreatedonyear'][]['actedin-inv', 'created-inv', 'directed-inv', 'edited-inv', 'skos:preflabel', 'wrotemusicfor-inv']	3	9	0.3333333333333333
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['created-inv', 'directed-inv', 'edited-inv', 'islocatedin', 'wrotemusicfor-inv']	1	11	0.09090909090909091
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate']['actedin-inv', 'directed-inv', 'islocatedin']	3	85	0.03529411764705882
['wascreatedondate', 'wascreatedonyear'][]['actedin-inv', 'created-inv', 'directed-inv', 'islocatedin', 'skos:preflabel', 'wrotemusicfor-inv']	2	7	0.2857142857142857
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'created-inv']	18	228	0.07894736842105263
['wascreatedondate', 'wascreatedonyear']['created-inv', 'skos:preflabel']['actedin-inv', 'directed-inv']	1	28	0.03571428571428571
['wascreatedondate', 'wascreatedonyear']['islocatedin', 'skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['actedin-inv', 'created-inv', 'directed-inv']	1	16	0.0625
['wascreatedondate', 'wascreatedonyear'][]['actedin-inv', 'created-inv', 'directed-inv', 'islocatedin', 'skos:preflabel']	3	28	0.10714285714285714
['wascreatedondate', 'wascreatedonyear'][]['created-inv', 'directed-inv', 'islocatedin', 'skos:preflabel', 'wrotemusicfor-inv']	1	1	1.0
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate']['directed-inv']	1	3	0.3333333333333333
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['actedin-inv', 'directed-inv', 'islocatedin']	1	61	0.01639344262295082
['wascreatedondate', 'wascreatedonyear']['created-inv', 'skos:preflabel']['directed-inv', 'islocatedin']	1	6	0.16666666666666666
['wascreatedondate', 'wascreatedonyear'][]['skos:preflabel', 'wrotemusicfor-inv']	1	1	1.0
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['created-inv', 'directed-inv']	1	69	0.014492753623188406
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear'][]	2	54	0.037037037037037035
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['directed-inv', 'wrotemusicfor-inv']	5	33	0.15151515151515152
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['actedin-inv', 'created-inv', 'wrotemusicfor-inv']	1	25	0.04
['wascreatedondate', 'wascreatedonyear'][]['created-inv', 'skos:preflabel']	3	7	0.42857142857142855
['wascreatedondate', 'wascreatedonyear']['created-inv', 'skos:preflabel'][]	1	2	0.5
['wascreatedondate', 'wascreatedonyear']['directed-inv', 'skos:preflabel']['created-inv']	1	15	0.06666666666666667
['wascreatedondate', 'wascreatedonyear']['wascreatedondate', 'wascreatedonyear']['actedin-inv', 'created-inv', 'directed-inv', 'edited-inv', 'skos:preflabel', 'wrotemusicfor-inv']	1	4	0.25
['wascreatedondate', 'wascreatedonyear'][]['actedin-inv', 'skos:preflabel']	3	11	0.2727272727272727
['wascreatedondate', 'wascreatedonyear']['created-inv', 'skos:preflabel']['actedin-inv', 'directed-inv', 'wrotemusicfor-inv']	1	52	0.019230769230769232
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'directed-inv', 'edited-inv']	3	25	0.12
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['actedin-inv', 'created-inv', 'directed-inv', 'islocatedin']	4	128	0.03125
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['created-inv', 'islocatedin']	5	23	0.21739130434782608
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'edited-inv']	2	45	0.044444444444444446
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['directed-inv', 'edited-inv', 'wrotemusicfor-inv']	1	14	0.07142857142857142
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'directed-inv']	1	27	0.037037037037037035
['wascreatedondate', 'wascreatedonyear']['wascreatedondate', 'wascreatedonyear']['actedin-inv', 'created-inv', 'directed-inv', 'skos:preflabel']	1	3	0.3333333333333333
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate']['actedin-inv']	1	22	0.045454545454545456
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate']['created-inv', 'directed-inv']	3	14	0.21428571428571427
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['islocatedin', 'wrotemusicfor-inv']	1	14	0.07142857142857142
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['actedin-inv', 'created-inv', 'directed-inv']	7	127	0.05511811023622047
['wascreatedondate', 'wascreatedonyear']['wascreatedondate', 'wascreatedonyear']['created-inv', 'directed-inv', 'skos:preflabel']	1	2	0.5
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['actedin-inv', 'created-inv', 'directed-inv', 'islocatedin', 'wrotemusicfor-inv']	4	261	0.01532567049808429
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['actedin-inv', 'created-inv', 'directed-inv', 'edited-inv']	6	75	0.08
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['created-inv', 'edited-inv', 'islocatedin']	1	2	0.5
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate']['actedin-inv', 'created-inv', 'wrotemusicfor-inv']	1	12	0.08333333333333333
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate']['actedin-inv', 'created-inv', 'directed-inv', 'islocatedin', 'wrotemusicfor-inv']	1	76	0.013157894736842105
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'edited-inv', 'wrotemusicfor-inv']	1	29	0.034482758620689655
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['created-inv', 'directed-inv', 'wrotemusicfor-inv']	2	30	0.06666666666666667
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate']['actedin-inv', 'created-inv', 'directed-inv', 'edited-inv', 'islocatedin', 'wrotemusicfor-inv']	1	85	0.011764705882352941
['wascreatedondate', 'wascreatedonyear'][]['islocatedin', 'skos:preflabel', 'wrotemusicfor-inv']	1	9	0.1111111111111111
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate']['islocatedin']	1	3	0.3333333333333333
['wascreatedondate', 'wascreatedonyear']['wascreatedondate']['actedin-inv', 'created-inv', 'directed-inv', 'skos:preflabel']	1	3	0.3333333333333333
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['directed-inv', 'edited-inv']	1	19	0.05263157894736842
['wascreatedondate', 'wascreatedonyear']['wascreatedondate', 'wascreatedonyear']['actedin-inv', 'directed-inv', 'skos:preflabel']	1	5	0.2
['wascreatedondate', 'wascreatedonyear'][]['created-inv', 'directed-inv', 'skos:preflabel', 'wrotemusicfor-inv']	1	1	1.0
['wascreatedondate', 'wascreatedonyear'][]['created-inv', 'directed-inv', 'edited-inv', 'skos:preflabel', 'wrotemusicfor-inv']	1	1	1.0
['wascreatedondate', 'wascreatedonyear'][]['created-inv', 'skos:preflabel', 'wrotemusicfor-inv']	1	2	0.5
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['actedin-inv', 'created-inv', 'directed-inv', 'edited-inv', 'islocatedin']	2	41	0.04878048780487805
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'directed-inv', 'edited-inv', 'islocatedin', 'wrotemusicfor-inv']	1	51	0.0196078431372549
['wascreatedondate', 'wascreatedonyear']['created-inv', 'skos:preflabel']['directed-inv', 'edited-inv', 'islocatedin', 'wrotemusicfor-inv']	1	2	0.5
['wascreatedondate', 'wascreatedonyear']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']['created-inv', 'directed-inv', 'islocatedin']	1	10	0.1
['wascreatedondate', 'wascreatedonyear']['skos:preflabel']['actedin-inv', 'directed-inv', 'edited-inv', 'islocatedin']	1	26	0.038461538461538464
context	nb sameas	all_pair	ratio
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'skos:preflabel']['islocatedin', 'wascreatedondate', 'wascreatedonyear']	10	93	0.10752688172043011
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'directed-inv', 'skos:preflabel']['edited-inv', 'islocatedin', 'wascreatedonyear']	16	220	0.07272727272727272
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'islocatedin', 'skos:preflabel']['wascreatedondate', 'wascreatedonyear']	4	4	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'skos:preflabel']['edited-inv', 'islocatedin', 'wascreatedonyear']	37	40	0.925
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'skos:preflabel']['edited-inv', 'islocatedin', 'wascreatedondate', 'wascreatedonyear']	141	146	0.9657534246575342
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'skos:preflabel', 'wascreatedonyear']['edited-inv', 'wascreatedondate']	3	4	0.75
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'skos:preflabel']['islocatedin', 'wascreatedondate', 'wascreatedonyear']	43	109	0.3944954128440367
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'skos:preflabel']['edited-inv', 'wascreatedondate', 'wascreatedonyear']	23	24	0.9583333333333334
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'skos:preflabel', 'wrotemusicfor-inv']['wascreatedonyear']	3	3	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'directed-inv', 'skos:preflabel']['islocatedin', 'wascreatedondate', 'wascreatedonyear']	61	191	0.3193717277486911
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'skos:preflabel']['islocatedin', 'wascreatedonyear']	47	48	0.9791666666666666
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'skos:preflabel']['edited-inv', 'islocatedin']	1	1	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'directed-inv', 'skos:preflabel']['islocatedin', 'wascreatedondate', 'wascreatedonyear']	11	43	0.2558139534883721
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['skos:preflabel']['wascreatedondate', 'wascreatedonyear']	21	22	0.9545454545454546
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'skos:preflabel']['islocatedin', 'wascreatedondate', 'wascreatedonyear']	122	132	0.9242424242424242
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'directed-inv', 'skos:preflabel']['wascreatedondate', 'wascreatedonyear']	14	58	0.2413793103448276
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['directed-inv', 'skos:preflabel']['islocatedin', 'wascreatedondate', 'wascreatedonyear']	38	41	0.926829268292683
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'skos:preflabel']['wascreatedondate', 'wascreatedonyear']	33	40	0.825
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'skos:preflabel']['islocatedin', 'wascreatedondate', 'wascreatedonyear']	247	253	0.9762845849802372
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'directed-inv', 'skos:preflabel']['edited-inv', 'islocatedin', 'wascreatedondate', 'wascreatedonyear']	43	195	0.2205128205128205
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'directed-inv', 'skos:preflabel']['edited-inv', 'islocatedin', 'wascreatedondate', 'wascreatedonyear']	4	14	0.2857142857142857
