epsilon	initial sameas ratio	nb sameas > 0.8	all sameas	nb sameas > 0.8/all sameas	mean ratio
[]	1.484811146005401e-06	0	927	0.0	zero division
['wasbornonyear']	7.12916906848861e-05	1	292	0.003424657534246575	1.0
['diedonyear', 'wasbornonyear']	0.02387832699619772	7	157	0.044585987261146494	1.0
['wasbornondate', 'wasbornonyear']	0.018084291187739465	3	118	0.025423728813559324	1.0
['actedin']	0.009782030834662414	19	92	0.20652173913043478	0.9834710743801653
['actedin', 'wasbornonyear']	0.2	49	68	0.7205882352941176	0.9791666666666666
['wasbornin', 'wasbornondate', 'wasbornonyear']	0.7102803738317757	48	76	0.631578947368421	0.9859393939393939
