p,o
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Thing
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q24229398
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q43229
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/entity/Q476028
http://www.w3.org/2000/01/rdf-schema#comment,"Cambridge Regional College FC (celým názvem: Cambridge Regional College Football Club) byl anglický fotbalový klub, který sídlil ve městě Cambridge v nemetropolitním hrabství Cambridgeshire. Jednalo se o rezervní tým Cambridge United FC. Založen byl v roce 2006, zanikl v roce 2014. Klubové barvy byly oranžová a černá.1 Své domácí zápasy odehrával na Abbey Stadium s kapacitou 10 847 diváků."
http://www.w3.org/2000/01/rdf-schema#comment,"Cambridge Regional College Football Club was a football club based in Cambridge, England. The club were members of the Eastern Counties League Premier Division and played at the Abbey Stadium."
http://www.w3.org/2000/01/rdf-schema#label,Cambridge Regional College F.C.
http://www.w3.org/2000/01/rdf-schema#label,Cambridge Regional College FC
http://www.w3.org/2002/07/owl#sameAs,http://cs.dbpedia.org/resource/Cambridge_Regional_College_FC
http://www.w3.org/2002/07/owl#sameAs,http://fa.dbpedia.org/resource/باشگاه_فوتبال_کمبریج_رجیونال_کالج
http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q5025508
http://www.w3.org/2002/07/owl#sameAs,http://yago-knowledge.org/resource/Cambridge_Regional_College_F.C.
http://www.w3.org/2002/07/owl#sameAs,https://global.dbpedia.org/id/4exye
http://www.w3.org/2003/01/geo/wgs84_pos#lat,5.221136E1
http://www.w3.org/2003/01/geo/wgs84_pos#long,1.53E-1
http://www.w3.org/ns/prov#wasDerivedFrom,http://en.wikipedia.org/wiki/Cambridge_Regional_College_F.C.?oldid=946849224&ns=0
http://xmlns.com/foaf/0.1/isPrimaryTopicOf,http://en.wikipedia.org/wiki/Cambridge_Regional_College_F.C.
http://xmlns.com/foaf/0.1/name,Cambridge Regional College Football Club
http://xmlns.com/foaf/0.1/name,Cambridge Regional College
http://xmlns.com/foaf/0.1/nick,The Scholars
